"score","count"
"-1","1"
"0","4547"
"1","2343545"
"2","1036253"
"3","485363"
"4","230754"
"5","130185"
"6","85500"
"7","62952"
"8","48368"
"9","38965"
"10","32085"
"11","27901"
"12","23476"
"13","20775"
"14","18284"
"15","16330"
"16","14776"
"17","13623"
"18","12204"
"19","11416"
"20","10605"
"21","9479"
"22","8899"
"23","8479"
"24","8041"
"25","7844"
"26","7461"
"27","7427"
"28","6846"
"29","6748"
"30","6478"
"31","6322"
"32","6092"
"33","6024"
"34","5736"
"35","5592"
"36","5536"
"37","5307"
"38","5329"
"39","5149"
"40","5052"
"41","4820"
"42","4682"
"43","4691"
"44","4514"
"45","4392"
"46","4320"
"47","4343"
"48","4071"
"49","4139"
"50","3859"
"51","3607"
"52","3567"
"53","3547"
"54","3600"
"55","3529"
"56","3376"
"57","3440"
"58","3403"
"59","3359"
"60","3200"
"61","3092"
"62","3147"
"63","3198"
"64","3056"
"65","2928"
"66","2903"
"67","2861"
"68","2789"
"69","2739"
"70","2699"
"71","2667"
"72","2570"
"73","2598"
"74","2502"
"75","2397"
"76","2455"
"77","2424"
"78","2382"
"79","2350"
"80","2297"
"81","2280"
"82","2233"
"83","2179"
"84","2166"
"85","2062"
"86","2088"
"87","2040"
"88","1996"
"89","2017"
"90","1986"
"91","2046"
"92","1947"
"93","1893"
"94","1892"
"95","1911"
"96","1849"
"97","1762"
"98","1744"
"99","1707"
"100","1617"
"101","1643"
"102","1641"
"103","1609"
"104","1569"
"105","1558"
"106","1526"
"107","1561"
"108","1487"
"109","1529"
"110","1426"
"111","1425"
"112","1437"
"113","1429"
"114","1383"
"115","1408"
"116","1330"
"117","1301"
"118","1327"
"119","1337"
"120","1319"
"121","1295"
"122","1320"
"123","1320"
"124","1276"
"125","1334"
"126","1303"
"127","1243"
"128","1179"
"129","1180"
"130","1149"
"131","1210"
"132","1191"
"133","1123"
"134","1142"
"135","1131"
"136","1085"
"137","1107"
"138","1082"
"139","1084"
"140","1080"
"141","1052"
"142","1070"
"143","1038"
"144","971"
"145","1040"
"146","960"
"147","978"
"148","1013"
"149","963"
"150","919"
"151","918"
"152","970"
"153","934"
"154","911"
"155","911"
"156","875"
"157","857"
"158","899"
"159","869"
"160","901"
"161","862"
"162","804"
"163","777"
"164","812"
"165","776"
"166","797"
"167","786"
"168","793"
"169","773"
"170","801"
"171","785"
"172","736"
"173","731"
"174","747"
"175","717"
"176","708"
"177","688"
"178","728"
"179","693"
"180","692"
"181","724"
"182","676"
"183","693"
"184","661"
"185","676"
"186","647"
"187","630"
"188","628"
"189","683"
"190","639"
"191","635"
"192","657"
"193","620"
"194","574"
"195","613"
"196","588"
"197","614"
"198","578"
"199","583"
"200","591"
"201","537"
"202","507"
"203","544"
"204","529"
"205","565"
"206","536"
"207","537"
"208","520"
"209","524"
"210","500"
"211","474"
"212","527"
"213","528"
"214","496"
"215","477"
"216","503"
"217","482"
"218","507"
"219","468"
"220","485"
"221","478"
"222","494"
"223","477"
"224","467"
"225","444"
"226","447"
"227","417"
"228","384"
"229","449"
"230","443"
"231","437"
"232","384"
"233","451"
"234","436"
"235","437"
"236","368"
"237","439"
"238","424"
"239","396"
"240","395"
"241","403"
"242","396"
"243","409"
"244","391"
"245","387"
"246","361"
"247","355"
"248","394"
"249","368"
"250","347"
"251","352"
"252","348"
"253","362"
"254","355"
"255","335"
"256","336"
"257","345"
"258","296"
"259","325"
"260","316"
"261","322"
"262","346"
"263","306"
"264","330"
"265","325"
"266","316"
"267","340"
"268","274"
"269","314"
"270","288"
"271","309"
"272","295"
"273","247"
"274","297"
"275","315"
"276","298"
"277","277"
"278","290"
"279","265"
"280","316"
"281","281"
"282","268"
"283","258"
"284","259"
"285","258"
"286","274"
"287","274"
"288","291"
"289","275"
"290","259"
"291","256"
"292","256"
"293","246"
"294","225"
"295","233"
"296","251"
"297","228"
"298","250"
"299","237"
"300","223"
"301","245"
"302","222"
"303","223"
"304","244"
"305","236"
"306","219"
"307","221"
"308","213"
"309","240"
"310","217"
"311","233"
"312","194"
"313","220"
"314","174"
"315","228"
"316","188"
"317","213"
"318","217"
"319","201"
"320","210"
"321","210"
"322","223"
"323","211"
"324","233"
"325","209"
"326","193"
"327","210"
"328","186"
"329","188"
"330","175"
"331","179"
"332","184"
"333","180"
"334","175"
"335","193"
"336","187"
"337","192"
"338","189"
"339","189"
"340","175"
"341","180"
"342","159"
"343","156"
"344","180"
"345","182"
"346","165"
"347","163"
"348","165"
"349","150"
"350","163"
"351","163"
"352","137"
"353","160"
"354","151"
"355","158"
"356","153"
"357","147"
"358","169"
"359","150"
"360","139"
"361","146"
"362","181"
"363","129"
"364","142"
"365","142"
"366","131"
"367","123"
"368","136"
"369","154"
"370","131"
"371","120"
"372","126"
"373","130"
"374","122"
"375","125"
"376","148"
"377","136"
"378","142"
"379","139"
"380","135"
"381","118"
"382","137"
"383","126"
"384","117"
"385","127"
"386","132"
"387","120"
"388","121"
"389","153"
"390","119"
"391","111"
"392","112"
"393","121"
"394","113"
"395","132"
"396","113"
"397","133"
"398","117"
"399","131"
"400","107"
"401","113"
"402","130"
"403","121"
"404","107"
"405","118"
"406","121"
"407","122"
"408","112"
"409","107"
"410","103"
"411","93"
"412","102"
"413","114"
"414","118"
"415","102"
"416","97"
"417","113"
"418","102"
"419","107"
"420","103"
"421","93"
"422","89"
"423","91"
"424","104"
"425","87"
"426","103"
"427","96"
"428","93"
"429","106"
"430","95"
"431","85"
"432","88"
"433","95"
"434","91"
"435","82"
"436","81"
"437","86"
"438","92"
"439","80"
"440","99"
"441","93"
"442","88"
"443","75"
"444","98"
"445","82"
"446","88"
"447","87"
"448","81"
"449","74"
"450","91"
"451","83"
"452","81"
"453","73"
"454","67"
"455","80"
"456","54"
"457","79"
"458","62"
"459","79"
"460","75"
"461","100"
"462","81"
"463","70"
"464","83"
"465","63"
"466","64"
"467","70"
"468","81"
"469","62"
"470","76"
"471","77"
"472","80"
"473","63"
"474","75"
"475","61"
"476","56"
"477","69"
"478","79"
"479","76"
"480","61"
"481","63"
"482","57"
"483","61"
"484","59"
"485","67"
"486","69"
"487","55"
"488","55"
"489","66"
"490","71"
"491","70"
"492","67"
"493","53"
"494","63"
"495","62"
"496","54"
"497","59"
"498","61"
"499","53"
"500","54"
"501","71"
"502","75"
"503","67"
"504","54"
"505","52"
"506","58"
"507","45"
"508","52"
"509","59"
"510","61"
"511","48"
"512","58"
"513","56"
"514","47"
"515","49"
"516","43"
"517","45"
"518","46"
"519","54"
"520","54"
"521","53"
"522","33"
"523","48"
"524","47"
"525","59"
"526","52"
"527","46"
"528","45"
"529","48"
"530","39"
"531","46"
"532","40"
"533","49"
"534","54"
"535","37"
"536","37"
"537","53"
"538","46"
"539","43"
"540","42"
"541","37"
"542","54"
"543","46"
"544","49"
"545","38"
"546","44"
"547","49"
"548","43"
"549","52"
"550","48"
"551","49"
"552","59"
"553","49"
"554","32"
"555","43"
"556","43"
"557","36"
"558","50"
"559","44"
"560","46"
"561","42"
"562","33"
"563","36"
"564","41"
"565","47"
"566","50"
"567","46"
"568","59"
"569","40"
"570","40"
"571","35"
"572","38"
"573","43"
"574","41"
"575","45"
"576","38"
"577","32"
"578","38"
"579","33"
"580","31"
"581","30"
"582","25"
"583","40"
"584","28"
"585","35"
"586","51"
"587","36"
"588","38"
"589","46"
"590","42"
"591","31"
"592","50"
"593","45"
"594","38"
"595","31"
"596","35"
"597","44"
"598","32"
"599","36"
"600","32"
"601","34"
"602","37"
"603","53"
"604","50"
"605","36"
"606","32"
"607","33"
"608","27"
"609","25"
"610","36"
"611","33"
"612","30"
"613","23"
"614","41"
"615","30"
"616","28"
"617","32"
"618","35"
"619","27"
"620","37"
"621","30"
"622","27"
"623","29"
"624","36"
"625","33"
"626","30"
"627","34"
"628","24"
"629","35"
"630","34"
"631","33"
"632","34"
"633","42"
"634","29"
"635","31"
"636","23"
"637","23"
"638","36"
"639","41"
"640","31"
"641","29"
"642","26"
"643","34"
"644","34"
"645","26"
"646","27"
"647","29"
"648","24"
"649","25"
"650","35"
"651","31"
"652","27"
"653","26"
"654","31"
"655","32"
"656","21"
"657","29"
"658","24"
"659","29"
"660","22"
"661","22"
"662","24"
"663","27"
"664","34"
"665","21"
"666","28"
"667","34"
"668","23"
"669","30"
"670","26"
"671","22"
"672","16"
"673","31"
"674","26"
"675","21"
"676","14"
"677","27"
"678","15"
"679","22"
"680","26"
"681","24"
"682","26"
"683","30"
